ISBN,Type,Title,Author,Publisher,Genre,Format,Unit Price,Publication Date,Pages,Length,Narrator,Rating
978-1-71491-939-0,eBook,Rather two general,Daniel Smith,Severn House,Poetry,Digital,11.01,31/10/1942,279,,,1.1
978-1-111-28419-0,Book,Over tax industry fish,Richard Matthews,Harper Collins,Fantasy,Paperback,29.89,15/01/1991,152,,,2.92
978-0-7064-2656-4,eBook,Successful various relationship federal oil,Allison Simmons,Faber & Faber,Religion and Spirituality,Digital,24.47,27/04/1989,165,,,2.05
978-1-4466-0499-1,Magazine,Reduce pick country,Julie Walker,Corner Stone,Gardening and Nature,Hardback,11.58,18/11/1997,244,,,2.26
978-1-72801-846-1,Book,Family floor suggest picture lose bank,Kevin Henry,Bloomsbury,Period Drama,Paperback,24.77,29/10/1970,240,,,2.63
978-1-79574-740-0,Book,Include listen mean night resource must,Brenda Simon,Faber & Faber,Classic Fiction,Hardback,17.09,01/05/1957,215,,,2.9
978-0-915258-42-0,Book,Quite rest best soldier learn leg,Michael Smith,Penguin Books,Science Fiction,Paperback,28.23,25/05/1962,218,,,1.18
978-1-157-85793-8,Book,Usually simply truth company,Theresa Hall,Joffe Books,True Crime,Hardback,28.25,30/05/2009,230,,,2.05
978-0-88996-071-8,Book,Money experience seat long indicate large,Mark Bradford,Harper Collins,Cooking,Hardback,19.81,29/10/2005,196,,,3.27
978-1-340-12449-6,eBook,Character himself local bed hospital,Amy Johnson,Pearson,True Crime,Digital,55.08,22/10/1953,215,,,2.76
978-0-9573133-9-2,Book,Everyone east surface necessary let,Dawn Butler,Pearson,LGBTQ+,Hardback,41.8,29/09/1952,244,,,3.21
978-1-4232-1902-6,Book,Area building knowledge sense,Holly Scott,Bloomsbury,Period Drama,Paperback,98.4,05/07/1944,235,,,3.69
978-1-234-58030-8,Book,Bad ask century shake Mrs,Cynthia Shannon,Transworld,Horror,Paperback,19.73,02/08/1989,108,,,1.33
978-1-73093-636-4,Book,Different speech on mouth,Stephanie Robinson,Random House,Fantasy,Hardback,202.63,13/11/1995,167,,,1.72
978-1-914138-11-9,Book,None life TV home,Cathy Mcmillan,Corner Stone,Adventure Fiction,Paperback,22.61,27/07/2015,154,,,2.88
978-0-05-220935-4,eBook,Cut nearly require should fall,Robert Spencer,Hachette Livre,Cooking,Digital,38.75,18/09/1953,316,,,2.02
978-0-931090-28-8,Book,Usually by modern guy,Tyler Conley,Cambridge University Press,Cooking,Hardback,13.88,20/05/1989,209,,,1.86
978-1-79930-563-7,Book,Health season ability recent general,Brenda Meyer,Corner Stone,True Crime,Paperback,34.28,12/03/1954,322,,,2.52
978-1-55086-980-4,Book,Stay by idea,Bryan Mueller,Faber & Faber,Romance,Paperback,22.87,16/01/1967,211,,,2.42
978-0-911885-06-4,Book,Democratic kind adult contain question,Kara Nelson,Puffin Books,Science Fiction,Hardback,42.91,14/01/1947,134,,,3.66
978-0-674-15602-9,Book,Size me lose land show,Melissa Dennis,Harper Collins,Religion and Spirituality,Hardback,13.0,26/08/2011,230,,,2.94
978-1-118-65034-9,eBook,International hair forward tell night suddenly,Sheryl Carson,Harper Collins,Comedy,Digital,54.4,19/12/1954,125,,,3.75
978-0-06-014045-8,Book,Woman none career or what,Timothy Freeman,Random House,Science Fiction,Hardback,17.7,29/09/1981,221,,,1.87
978-0-9822069-8-0,Book,Issue determine ago together simple act,Gary King,Cambridge University Press,Young Adult,Hardback,44.24,23/05/1968,191,,,2.79
978-1-338-49703-8,Book,Field nice miss now six action,Elizabeth Adams,Penguin Books,Travel,Hardback,23.08,19/05/2010,266,,,1.87
978-0-387-32667-2,Book,Land couple according natural cold girl,Albert Townsend,Harper Collins,Period Drama,Paperback,19.32,07/12/1995,227,,,2.74
978-0-7199-0160-7,Book,Line price ago sit,Robert Pineda,Penguin Books,Period Drama,Paperback,18.85,12/02/1981,213,,,0.24
978-1-252-67784-4,Book,Could south program region beyond,Michelle Walker,Joffe Books,Horror,Paperback,44.54,05/01/2004,293,,,2.29
978-1-83802-331-7,Book,Ball generation morning each,Randall Walter,Faber & Faber,Romance,Hardback,12.14,10/07/1942,92,,,3.03
978-0-919813-65-6,eBook,Green practice real bank east,Jorge Clark,Faber & Faber,Action,Digital,21.98,15/01/1983,210,,,2.17
978-0-640-04647-7,Book,Already environment will,Christian Watkins,Pearson,True Crime,Hardback,11.4,12/11/1947,282,,,4.45
978-1-69568-955-8,eBook,Course system opportunity safe recognize,Linda Salazar,Random House,Fantasy,Digital,29.54,28/02/1995,276,,,2.91
978-1-203-99379-5,AudioBook,Seem foreign better subject,Alan Molina,Harper Collins,Crime Fiction,Audio,12.67,31/10/2002,0,04:11,Stephen Fry,3.55
978-1-4788-6806-4,Book,Perhaps material of student,Lindsay Lee,Random House,Fantasy,Paperback,21.85,07/03/2013,307,,,1.37
978-1-919648-38-5,Book,None never field trip some,Scott Dudley,Bloomsbury,History,Hardback,18.96,11/09/2011,246,,,4.24
978-1-898773-16-0,AudioBook,Range require wrong organization care anything,Andrew Valdez,Random House,Reference Book,Audio,47.46,14/09/2001,0,05:25,Dion Graham,4.26
978-1-71230-867-7,Book,Order address right hotel,Patrick Davenport,Penguin Books,Horror,Paperback,19.68,03/05/1969,236,,,2.75
978-1-353-59427-9,Book,Play reflect lead sing close education,Robin Mendez,Faber & Faber,Adventure Fiction,Hardback,22.23,10/01/2014,231,,,1.68
978-1-58885-225-0,eBook,Analysis fire over school meeting,Jose Prince,Joffe Books,Science Fiction,Digital,16.87,10/12/1942,195,,,2.02
978-0-7986-3266-9,eBook,Above energy and water card marriage,Priscilla Cooper,Corner Stone,History,Digital,11.33,24/04/2015,168,,,0.91
978-0-395-93089-2,eBook,Throw former crime,Susan Evans,Transworld,Children,Digital,218.16,12/12/1951,295,,,2.99
978-0-9643828-1-7,Book,Few easy subject,Tara Compton,Pearson,Young Adult,Hardback,32.78,21/09/1946,233,,,2.84
978-0-505-34567-7,AudioBook,To what believe let,Billy Powell,Puffin Books,Action,Audio,10.83,13/07/2007,0,12:11,Kemmofer Ikeda,1.43
978-1-9799-8643-4,Book,The institution hand meeting every,Heather Conley,Pearson,History,Hardback,48.73,27/04/1986,101,,,3.07
978-0-386-18845-5,Book,Out hundred thing sea,Sara Manning,Bloomsbury,Thriller,Paperback,33.12,09/03/1990,190,,,2.66
978-0-14-177339-1,Book,Protect safe shake,Crystal Hernandez,Cambridge University Press,Cooking,Paperback,19.08,31/07/2005,136,,,1.49
978-1-336-60721-7,Book,Once could situation drop one,Alex Allison,Random House,LGBTQ+,Paperback,12.55,20/10/2015,171,,,2.99
978-1-5386-7851-0,Book,Imagine network fund,Nicholas Thompson,Severn House,Politics and Satire,Hardback,32.5,08/04/2002,217,,,2.41
978-1-375-95934-6,eBook,Everything happy himself boy development north,Tammy Hill,Puffin Books,Horror,Digital,50.62,22/09/1999,176,,,2.97
978-1-82132-817-7,Magazine,Foreign difficult world lay,Timothy Thomas,Joffe Books,Romance,Hardback,10.25,22/12/1962,244,,,2.72
978-0-7789-6430-8,eBook,Series development child site key,James Martinez,Corner Stone,Science Fiction,Digital,32.34,26/06/1954,152,,,3.24
978-0-13-607399-4,Book,Significant project weight I politics apply,Aaron Smith,Severn House,History,Hardback,24.01,04/07/2002,250,,,3.55
978-1-70582-909-7,Book,Same during I,Taylor Best,Joffe Books,Action,Paperback,67.02,11/03/1997,287,,,2.99
978-0-02-598866-8,Book,Avoid open stay clear according before,Lori Oliver,Pearson,Young Adult,Paperback,40.68,12/06/1949,247,,,3.43
978-1-908502-68-1,Book,Wife inside full tree major present,Lisa Dalton,Hachette Livre,Classic Fiction,Hardback,30.4,05/03/1973,215,,,2.67
978-0-443-09483-5,eBook,Level fund me general,Chad Jones,Bloomsbury,Poetry,Digital,74.81,07/03/1957,297,,,2.22
978-0-8489-1972-6,Magazine,Produce exactly beautiful thing community,Elijah Wise,Hachette Livre,Travel,Paperback,11.62,15/10/1969,207,,,2.95
978-0-241-32246-8,Magazine,Arrive professional rich,Eric Sullivan,Severn House,Young Adult,Hardback,59.95,23/12/1990,252,,,2.85
978-0-687-63656-3,eBook,News line Republican guess than,Courtney Ross,Faber & Faber,True Crime,Digital,51.37,29/12/1964,159,,,3.2
978-0-02-871830-9,Book,Certain guess mind market everything job,Donald Clark,Faber & Faber,Young Adult,Hardback,26.84,30/06/2014,262,,,2.3
978-0-86251-647-5,Book,Why into senior consumer mission these happy,Robert Chandler,Puffin Books,Politics and Satire,Hardback,24.91,12/10/1996,282,,,2.69
978-1-4706-3463-6,Book,Value even yet,Natasha Cummings,Faber & Faber,Classic Fiction,Hardback,23.36,15/12/1947,213,,,3.6
978-1-84377-020-6,Book,Majority identify study say,Aaron Clark,Pearson,LGBTQ+,Hardback,32.8,03/05/2012,262,,,4.02
978-0-01-093239-3,eBook,Ago account what talk end,Anthony Montes,Faber & Faber,Gardening and Nature,Digital,28.16,17/03/1952,240,,,2.98
978-1-281-69514-7,Book,Sing hair return there,John Dyer,Faber & Faber,Science Fiction,Paperback,16.47,06/04/1955,186,,,2.77
978-1-919445-54-0,Book,News third management most,Maria Rosario,Joffe Books,LGBTQ+,Paperback,30.85,23/06/2016,182,,,2.03
978-1-86303-776-1,Book,Positive road apply where,Jeremiah Ramirez,Puffin Books,Comics,Paperback,21.2,05/12/1948,232,,,2.14
978-0-7193-6497-6,Book,Task special apply,Travis Garcia,Cambridge University Press,Young Adult,Paperback,75.8,24/11/1993,151,,,1.89
978-1-377-69746-8,eBook,Fall two second,Brandon Wallace,Puffin Books,History,Digital,165.9,17/07/1965,134,,,2.99
978-1-65185-322-1,Book,Difference majority heart five,Robert Schultz,Hachette Livre,Gardening and Nature,Paperback,10.06,09/07/1944,219,,,1.63
978-1-921478-91-8,Book,Project information try house might,Thomas Douglas,Faber & Faber,Horror,Hardback,82.35,21/01/2015,264,,,2.79
978-1-4162-3196-7,Book,Growth include feeling instead,Katie Henderson,Corner Stone,Reference Book,Paperback,19.51,29/10/1976,166,,,2.39
978-1-4653-9424-8,AudioBook,Million factor resource believe water yourself,Morgan Richmond,Cambridge University Press,Cooking,Audio,48.26,06/04/2015,0,09:41,Julia Whelan,4.1
978-1-76007-717-4,Book,Idea walk without century,Nicole Guerrero,Corner Stone,Action,Hardback,19.02,11/09/1997,206,,,2.5
978-1-4922-6611-2,Book,Direction team need,Jesse Robinson,Severn House,Reference Book,Paperback,56.77,10/05/2004,123,,,1.83
978-1-933796-38-3,eBook,Seat debate Mrs would build,Michele Reynolds,Penguin Books,Comedy,Digital,54.96,02/06/1942,198,,,2.94
978-1-68576-400-5,Book,Time should tend recently meeting well,Kevin Mercer,Penguin Books,Cooking,Paperback,39.86,15/09/1963,289,,,2.14
978-0-550-61594-7,eBook,Nearly year southern respond,Michele Patterson,Severn House,History,Digital,54.91,06/05/1983,245,,,4.05
978-1-77848-878-8,Book,Sport first approach bed,Jennifer Lawson,Penguin Books,Classic Fiction,Paperback,17.92,11/01/1967,214,,,2.48
978-0-18-276490-7,Book,Perform seem west when popular,Danny Howell,Cambridge University Press,Poetry,Hardback,16.93,22/05/1995,209,,,0.9
978-1-294-95091-2,Book,Treat industry newspaper mission space,William Farmer,Faber & Faber,Comedy,Hardback,58.4,27/06/1958,161,,,2.75
978-1-887294-90-4,Book,Office race politics little,Gina Hernandez,Joffe Books,Romance,Paperback,23.61,23/02/1951,170,,,1.95
978-0-09-367606-1,Book,We common similar,Michael Orr,Transworld,Adventure Fiction,Paperback,35.54,20/07/2013,209,,,2.69
978-1-06-784679-4,eBook,Sell sort why improve learn view,Stephanie Melendez,Puffin Books,True Crime,Digital,61.6,06/11/1950,211,,,2.28
978-0-382-95442-9,Book,Actually big member hope up,Tyler Melton,Puffin Books,Reference Book,Paperback,11.63,03/10/1974,219,,,1.32
978-1-4321-0457-3,Book,Despite believe poor herself special,Kevin Martinez,Severn House,Children,Hardback,27.86,11/08/1984,203,,,2.42
978-0-382-07781-4,Book,Difference risk personal media yard tell,Angela Morton,Joffe Books,Young Adult,Paperback,11.33,08/11/1947,151,,,3.0
978-1-78024-050-3,Book,Situation family sport,Jill Holmes,Random House,Action,Hardback,14.52,20/07/1961,214,,,2.32
978-0-89799-444-6,Book,Eight score much way pretty,Brett Munoz,Corner Stone,Comedy,Paperback,159.72,04/11/1961,198,,,1.96
978-1-133-17164-5,Book,Thank site perhaps,David Castillo,Random House,Religion and Spirituality,Paperback,91.86,23/09/1974,221,,,2.53
978-0-589-45638-2,Book,Trouble coach ago field rise,Tracey Carlson,Faber & Faber,True Crime,Paperback,12.81,23/07/1952,266,,,2.68
978-1-227-46699-2,Magazine,Beat still participant quickly pass,Anna Ramos,Cambridge University Press,Reference Book,Paperback,23.37,11/06/1971,148,,,2.07
978-0-485-13013-3,Book,Always ball billion,Crystal Pineda,Transworld,Gardening and Nature,Paperback,30.16,13/09/1980,130,,,1.38
978-0-675-47127-5,Book,Throughout meet hour than pattern,Nicole Camacho,Bloomsbury,Cooking,Paperback,22.19,18/02/1975,176,,,2.23
978-1-249-29406-1,Book,Shoulder tonight personal,Matthew Nguyen,Corner Stone,True Crime,Hardback,24.66,14/10/1979,254,,,2.42
978-1-988565-38-5,Book,Event throw affect know before,Derrick Chapman,Corner Stone,Religion and Spirituality,Hardback,26.0,06/01/1949,116,,,1.87
978-0-7008-0510-5,Book,Happy change weight debate condition,Jennifer Lynch,Corner Stone,Memoir and Autobiography,Paperback,58.21,03/05/1993,283,,,3.63
978-1-82955-002-0,Book,Who possible model civil can,Brett Rogers,Pearson,Science Fiction,Hardback,27.39,06/02/1961,161,,,3.05
978-0-423-42632-8,Book,Per season take according response political,Joshua Lee,Pearson,Reference Book,Hardback,41.18,01/08/1952,199,,,2.52
978-1-365-60862-9,Book,Forward receive care add learn national,Nancy Williams,Severn House,Travel,Hardback,10.98,04/07/1962,162,,,1.76
978-0-590-95099-2,Book,Determine meeting body energy,Shelly Melton,Cambridge University Press,Reference Book,Hardback,19.62,11/10/1956,247,,,3.12
978-0-19-002101-6,Book,Traditional ask might must nature nor,Laura Cross,Transworld,Thriller,Paperback,21.74,29/06/1989,132,,,2.07
978-1-03-613086-2,eBook,Others among apply dinner,James Gutierrez,Harper Collins,Travel,Digital,61.76,07/10/1991,179,,,2.59
978-1-78053-011-6,Book,Speak difficult address fly wear line,Gary Williams,Hachette Livre,Children,Paperback,20.57,24/10/2004,194,,,2.89
978-0-7918-0376-9,Book,Idea clear guess item,Alexa Finley,Puffin Books,Memoir and Autobiography,Hardback,12.02,03/05/1960,109,,,3.29
978-1-956567-34-2,Magazine,In sense financial,Michael Hayes,Hachette Livre,Fantasy,Paperback,665.43,22/03/1967,325,,,2.56
978-0-13-984425-6,Book,Such chance send defense,Timothy Cox,Harper Collins,LGBTQ+,Hardback,16.16,11/10/1954,280,,,2.4
978-1-186-19399-1,Book,Nature just whatever few participant final,Katie Carter,Cambridge University Press,Children,Paperback,27.34,15/09/2013,276,,,3.06
978-0-7577-3842-5,Book,Total this dark seven,Michele Romero,Pearson,Science Fiction,Hardback,13.37,09/12/1986,181,,,3.38
978-0-635-82070-9,Magazine,Car matter present sea,Kristen Frank,Bloomsbury,Politics and Satire,Paperback,19.8,14/11/1943,217,,,2.93
978-1-84239-769-5,Book,Itself official test opportunity,Ronald Harris,Harper Collins,LGBTQ+,Hardback,11.26,11/09/1963,199,,,1.74
978-0-7459-1650-7,eBook,Role wonder view writer,Nicole Cross,Harper Collins,True Crime,Digital,18.17,12/07/1964,210,,,3.6
978-1-165-66729-1,Book,Agree why nothing together at,Diane Foster,Pearson,Young Adult,Hardback,22.59,09/11/1961,202,,,1.53
978-1-5196-0599-3,Book,Dog away girl,Charles Rose,Severn House,History,Paperback,32.85,24/12/1993,216,,,2.17
978-0-05-388612-7,eBook,Task send she,Jermaine Branch,Transworld,Period Drama,Digital,11.2,03/04/1974,120,,,2.66
978-0-296-49226-0,Book,Fire can try,David Cooper,Random House,Science Fiction,Hardback,13.76,13/04/1969,228,,,2.89
978-1-4106-8082-2,Book,Whose all wall,Latasha Rodriguez,Joffe Books,Comics,Hardback,34.47,04/03/1952,153,,,2.6
978-0-364-76409-1,eBook,Value pull avoid,Samuel Benson,Cambridge University Press,History,Digital,38.76,11/09/1984,99,,,1.51
978-1-292-00217-0,Book,Customer lot stay,Chase Reed,Cambridge University Press,Travel,Hardback,19.49,20/10/1988,243,,,2.96
978-0-297-08386-3,Book,Capital hope form,Julie Smith,Joffe Books,Crime Fiction,Paperback,37.46,26/09/2007,167,,,2.86
978-0-559-84041-8,Book,Offer agency appear painting tree relationship,Sarah Gallagher,Transworld,Period Drama,Paperback,22.45,26/01/1964,147,,,3.37
978-1-5350-0733-7,Book,Fact do that size,Danielle Santos,Faber & Faber,Period Drama,Hardback,12.09,01/08/1977,123,,,2.63
978-1-77156-279-9,Book,Ever set fine,Evan Beck,Pearson,Travel,Paperback,20.25,07/04/1946,152,,,0.84
978-0-9543248-0-3,Book,Reach join huge fire let,Kimberly Acosta,Severn House,Children,Paperback,111.67,15/11/1962,191,,,1.36
978-1-03-568801-2,Book,Environmental analysis political third,Bradley Herman,Severn House,Reference Book,Hardback,11.99,17/02/1950,252,,,1.35
978-1-02-367444-7,Book,Method pull but perform few,Jared Knight,Random House,Fantasy,Paperback,30.75,10/06/2002,206,,,3.51
978-0-9585832-9-9,Book,Throw real trial product,Nicole Gibson,Pearson,History,Paperback,114.59,26/10/2006,249,,,2.3
978-0-692-11574-9,Book,Live church yeah cell,Nicholas Graves,Puffin Books,History,Paperback,22.09,16/12/1995,290,,,2.71
978-0-7014-3828-9,Book,However tax open ready,Chad Olson,Transworld,Cooking,Hardback,20.18,21/06/1990,252,,,2.37
978-0-00-733452-0,Book,Even put figure,Darrell Goodwin,Pearson,Comedy,Hardback,56.17,14/06/1994,225,,,2.89
978-0-03-863714-0,Book,Purpose catch loss body simply drive,Hector White,Harper Collins,Young Adult,Hardback,26.17,27/06/1973,129,,,1.96
978-0-908290-93-2,Book,World experience and until,Jennifer Moreno,Puffin Books,Action,Paperback,61.9,24/01/1940,166,,,2.43
978-1-4505-0402-7,Book,Mission discuss accept choose letter,Connie Pollard,Transworld,Religion and Spirituality,Paperback,36.11,03/03/1978,332,,,2.83
978-0-09-244686-3,AudioBook,Call understand learn drop quickly,Joshua Hudson,Corner Stone,Children,Audio,18.62,29/04/2002,0,12:10,Julia Whelan,2.23
978-0-610-53978-7,eBook,With road rise him occur or,Gregory Guzman,Bloomsbury,Horror,Digital,44.64,13/11/1941,129,,,1.82
978-0-522-79619-3,Book,Team name to matter,Marcus Rodriguez,Pearson,Comics,Hardback,62.19,26/04/1944,264,,,3.32
978-0-284-46025-7,Magazine,Street impact share,Antonio Maldonado,Penguin Books,Horror,Paperback,83.07,06/04/1960,297,,,2.56
978-1-916153-32-5,Book,Require if turn,David Diaz,Puffin Books,True Crime,Paperback,70.18,09/04/1996,199,,,3.51
978-1-65904-798-1,Book,Back mention miss,Ann Ramirez,Pearson,Children,Hardback,59.74,11/10/1986,195,,,2.7
978-1-78344-694-0,eBook,Financial culture commercial,Teresa Greene,Cambridge University Press,Gardening and Nature,Digital,54.2,12/02/1960,150,,,2.4
978-1-69128-444-3,eBook,Month middle from,Steven Chapman,Hachette Livre,Period Drama,Digital,21.25,05/03/1992,190,,,1.06
978-1-04-515278-7,Book,Idea science scientist from issue,Melissa Sellers,Corner Stone,Young Adult,Hardback,112.67,25/06/1971,152,,,2.62
978-1-71544-970-4,Magazine,Especially today able smile,Jeffrey Davis,Severn House,Classic Fiction,Paperback,72.98,16/05/1983,118,,,2.2
978-1-76744-190-9,Magazine,What executive low require,Wendy Griffin,Bloomsbury,Classic Fiction,Hardback,30.28,28/03/1987,250,,,3.38
978-1-4218-0123-0,Book,Popular add test pay work spend,Samantha Smith,Puffin Books,Memoir and Autobiography,Paperback,13.22,10/12/1959,199,,,0.96
978-1-71060-832-8,Book,Tend important reduce,Mario Anderson,Corner Stone,Science Fiction,Hardback,17.52,04/07/1994,241,,,2.14
978-0-11-262818-7,Book,Build all treatment these,Brian Hardin,Joffe Books,Action,Hardback,21.14,14/09/1967,223,,,2.66
978-0-8405-8166-2,Book,Scene term speech whether phone,Katrina Reyes,Hachette Livre,Young Adult,Hardback,23.87,30/12/1970,209,,,2.54
978-1-9813-6398-8,Book,Week task run ready,David Bryant,Corner Stone,Gardening and Nature,Hardback,16.0,23/10/2000,257,,,2.24
978-1-9770-1443-6,eBook,Find clearly recognize color,Kimberly Salas,Pearson,History,Digital,23.47,07/08/1986,171,,,0.87
978-1-57363-128-0,Book,Chair hotel they environment organization,Tamara Gibson,Puffin Books,Crime Fiction,Paperback,19.95,10/08/1982,157,,,1.79
978-1-60253-078-2,eBook,Western save concern,Shirley Davis,Penguin Books,Poetry,Digital,23.62,08/08/2015,204,,,2.59
978-1-5069-3594-2,Book,Nature dark city decade enjoy thousand,Kenneth Faulkner,Random House,Young Adult,Paperback,18.72,09/11/2015,112,,,3.04
978-0-490-87327-8,AudioBook,Far than public matter need,Suzanne Stephens,Hachette Livre,Crime Fiction,Audio,164.11,23/08/1959,0,05:37,Stephen Fry,3.37
978-1-82784-206-6,Book,Drop beat court,Rachel Johnson,Puffin Books,Comics,Paperback,17.24,18/08/1946,128,,,2.23
978-1-944697-54-9,Book,Bring some class four,Jeremy Decker,Random House,Science Fiction,Hardback,20.98,29/01/1972,210,,,2.59
978-1-126-08978-0,Book,Amount weight cell different,James Richard,Hachette Livre,Horror,Hardback,22.3,19/06/1976,261,,,2.11
978-1-9863-7036-3,Book,Six hit fight few final,Tammy Warren,Bloomsbury,Comics,Hardback,158.75,22/12/1963,193,,,1.94
